,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4,428.0,4
1,1st Block Jayanagar,1630.0,3,194.0,3
2,1st Block Jayanagar,1875.0,2,235.0,3
3,1st Block Jayanagar,1200.0,2,130.0,3
4,1st Block Jayanagar,1235.0,2,148.0,2
5,1st Block Jayanagar,2750.0,4,413.0,4
6,1st Block Jayanagar,2450.0,4,368.0,4
7,1st Phase JP Nagar,1875.0,3,167.0,3
8,1st Phase JP Nagar,1500.0,5,85.0,5
9,1st Phase JP Nagar,2065.0,4,210.0,3
10,1st Phase JP Nagar,2059.0,3,225.0,3
11,1st Phase JP Nagar,1394.0,2,100.0,2
12,1st Phase JP Nagar,1077.0,2,93.0,2
13,1st Phase JP Nagar,1566.0,2,180.0,2
14,1st Phase JP Nagar,840.0,2,50.0,1
15,1st Phase JP Nagar,1590.0,3,131.0,3
16,1st Phase JP Nagar,2180.0,3,210.0,3
17,1st Phase JP Nagar,1180.0,2,88.5,2
18,1st Phase JP Nagar,1200.0,2,86.0,2
19,1st Phase JP Nagar,1394.0,2,85.0,2
20,1st Phase JP Nagar,2077.0,3,175.0,3
21,1st Phase JP Nagar,1205.0,2,85.0,2
22,1st Phase JP Nagar,900.0,2,75.0,2
23,2nd Phase Judicial Layout,1450.0,2,50.75,3
24,2nd Phase Judicial Layout,1150.0,2,40.25,2
25,2nd Phase Judicial Layout,1350.0,2,47.25,3
26,2nd Phase Judicial Layout,1350.0,2,47.25,3
27,2nd Phase Judicial Layout,900.0,2,41.0,2
28,2nd Phase Judicial Layout,1681.0,3,69.0,3
29,2nd Phase Judicial Layout,1350.0,2,47.25,3
30,2nd Phase Judicial Layout,1150.0,2,40.25,2
31,2nd Stage Nagarbhavi,1500.0,4,220.0,4
32,2nd Stage Nagarbhavi,3000.0,8,451.0,6
33,2nd Stage Nagarbhavi,2400.0,8,450.0,6
34,2nd Stage Nagarbhavi,1350.0,4,200.0,4
35,2nd Stage Nagarbhavi,1200.0,4,225.0,4
36,2nd Stage Nagarbhavi,1500.0,3,230.0,4
37,5th Block Hbr Layout,1206.0,2,56.0,2
